pathogen,antibiotic_class,resistant_dalys,resistant_ylls,resistant_ylds,resistant_deaths,total_dalys,log_burden,mortality_prop,resistance_attr_frac
Klebsiella pneumoniae,Fluoroquinolones,146345.29148157043,144661.86227119615,1683.4292103743137,5451.183835549514,2024118.3266137964,5.1653817215802205,0.9884968679666315,0.07230075907982882
Klebsiella pneumoniae,Third-generation cephalosporins,293189.21067379776,291866.6344697972,1322.5762040005263,10776.430842809017,2521535.1507605105,5.46714946555529,0.9954890011096895,0.11627409222725688
Klebsiella pneumoniae,Trimethoprim-Sulfamethoxazole,123072.22598713519,122660.36863513256,411.8573520026367,4584.7986703555225,2396822.4130665013,5.090163584444381,0.9966535313008339,0.05134807873799719
Morganella spp.,Fluoroquinolones,1984.6595282713479,1973.1998388925276,11.459689378820501,115.65537607815511,11228.83352607488,3.297904784104412,0.9942258663435325,0.1767467229487837
Morganella spp.,Fourth-generation cephalosporins,532.3068377448612,520.9086496296011,11.398188115260258,31.495476243128707,2717.328767759575,2.7269771519855666,0.9785871844826395,0.1958934244764022
Morganella spp.,Third-generation cephalosporins,1056.9602517874764,1039.2271733002003,17.73307848727612,69.74791213467115,6126.012120170978,3.0244693512968603,0.9832225682495753,0.17253642843883304
Mycobacterium tuberculosis,Extensive drug resistance in TB,8683.029965611626,8780.856334066013,0.0,263.0081900333024,14849.227052137763,3.938721313386404,1.0,0.5847462588539915
Mycobacterium tuberculosis,Isoniazid mono-resistance,8134.359768247579,7889.568147773779,244.7916204737993,243.55859023937106,55870.757041088465,3.9103767634080753,0.9699064674482014,0.14559243867530314
Mycobacterium tuberculosis,Multi-drug resistance excluding extensive drug resistance in TB,49695.31627237351,50273.16629613015,0.0,1494.373954805766,91008.38522137109,4.696324197951183,1.0,0.5460520604941272
Mycobacterium tuberculosis,Rifampicin mono-resistance,3482.377145504086,3339.1191337034784,143.25801180060782,99.69966833660663,13187.677469415554,3.5420004980999478,0.958862005516674,0.2640629598031982
Non-typhoidal Salmonella,Fluoroquinolones,3021.5073086287944,2753.8623293431065,267.6449792856879,59.81803902143419,17530.365348241085,3.4803673596877536,0.9114200457098516,0.172358490459629
Other enterococci,Fluoroquinolones,83079.87951765128,82441.3566903871,638.5228272642158,3567.0652904775498,468240.2541649997,4.9195010854514205,0.9923143505867922,0.17743002396452484
Other enterococci,Vancomycin,27486.98188749623,26731.712210946494,755.269676549724,1321.7064130134816,146053.66311925577,4.439142855983984,0.9725226407307637,0.18819782606241356
Proteus spp.,Aminoglycosides,2328.119108668087,2288.3740500303516,39.745058637735134,120.3668390959353,46658.23039849505,3.367191698459374,0.982928253760834,0.049897286904887206
Proteus spp.,Aminopenicillin,8717.499671721085,8606.016376696529,111.483295024561,425.08386786943015,389176.6632355351,3.94044175553423,0.9872115515660752,0.022399852034409144
Proteus spp.,Fluoroquinolones,16166.083690451207,16133.865339897762,32.218350553444395,845.3102275231956,209847.2852999602,4.208631686488328,0.9980070404700134,0.07703737347539658
